Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt(15:180),GHI_Tilt(15:180)_Flag,GTI(15:180),GTI(15:180)_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power.1,PV_Power_Flag.1,Wind_Speed,Wind_Speed_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,GHI_Tilt(15:180)_original,GHI_Tilt(15:180)_original_Flag,GTI(15:180)_original,GTI(15:180)_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
2019//5//30,150,04::38:52,19::38:14,12::08:21,11.393,19.778,8.329,3.125,8.547,3.362,-,-,6.6530000000000005,3.125,9.407,3.125,1.675,3.126,32.095,3.593,75.974,2.561,0.6881111111111112,3.23,8.49,27.89,-0.0004,0.0019,0.,0.,-,-,0.,0.,-0.0039000000000000003,0.0195,-
2019//5//31,151,04::38:22,19::39:02,12::08:29,11.414,19.816,7.506,3.125,7.71,3.362,-,-,5.838,3.125,8.116,3.125,1.668,3.125,28.675,4.426,73.168,2.744,0.6463888888888889,2.67,10.67,29.17,-0.0001,0.001,0.,0.,-,-,0.,0.,-0.0013000000000000002,0.0114,-
2019//6//1,152,04::37:51,19::39:48,12::08:38,11.433,19.832,8.436,3.125,8.576,3.362,-,-,6.66,3.125,9.81,3.125,1.7770000000000001,3.125,32.094,3.8930000000000002,74.075,2.632,0.7655138888888889,2.92,12.66,31.11,-0.0001,0.0008,0.,0.,-,-,0.,0.,-0.0019,0.014,-
2019//6//2,153,04::37:25,19::40:33,12::08:48,11.452,19.87,8.369,3.125,8.502,3.362,-,-,7.103,3.125,10.646,3.125,1.266,3.126,31.258,3.809,70.37,2.6550000000000002,0.7520347222222221,2.92,11.92,31.560000000000002,0.,0.0006000000000000001,0.,0.,-,-,0.,0.,-0.0006000000000000001,0.0082,-
2019//6//3,154,04::36:59,19::41:17,12::08:58,11.47,19.864,8.536,3.125,8.629,3.362,-,-,7.5680000000000005,3.132,11.389000000000001,3.133,0.968,3.134,32.293,3.6670000000000003,72.411,2.621,0.7766319444444447,2.93,10.89,29.,-0.0001,0.0015,0.,0.,-,-,0.,0.,-0.0025,0.0162,-
2019//6//4,155,04::36:36,19::42:00,12::09:08,11.486,19.881,8.727,3.125,8.794,3.362,-,-,7.855,3.125,11.961,3.125,0.873,3.125,32.885,3.596,73.78,2.6,0.7430347222222224,3.23,9.64,30.,-0.0006000000000000001,0.0026000000000000003,0.,0.,-,-,0.,0.,-0.0036000000000000003,0.0182,-
2019//6//5,156,04::36:15,19::42:41,12::09:18,11.501,19.919,8.277000000000001,3.125,8.478,3.362,-,-,7.101,3.125,10.055,3.125,1.176,3.126,31.676000000000002,3.713,73.84100000000001,2.669,0.9456319444444444,3.3000000000000003,9.290000000000001,29.72,-0.0006000000000000001,0.0026000000000000003,0.,0.,-,-,0.,0.,-0.0023,0.0143,-
2019//6//6,157,04::35:56,19::43:20,12::09:29,11.516,19.914,3.548,3.125,3.498,3.362,-,-,0.525,3.1270000000000002,0.673,3.126,3.0220000000000002,3.125,9.494,11.489,30.451,4.062,1.1992708333333333,3.5500000000000003,9.72,18.57,-0.0001,0.0009000000000000001,0.,0.,-,-,0.,0.,-0.0001,0.0009000000000000001,-
2019//6//7,158,04::35:39,19::43:59,12::09:40,11.529,19.931,8.028,3.125,8.162,3.362,-,-,5.25,3.125,6.798,3.125,2.778,3.125,30.317,3.592,70.17,2.774,1.054388888888889,2.99,6.87,17.51,0.,0.,0.,0.,-,-,0.,0.,-0.0006000000000000001,0.0083,-
2019//6//8,159,04::35:25,19::44:35,12::09:52,11.542,19.97,8.755,3.125,8.870000000000001,3.362,-,-,7.559,3.125,11.131,3.125,1.196,3.125,-5.963,-0.027,78.422,2.617,0.6337083333333333,2.65,3.91,24.830000000000002,-0.001,0.0036000000000000003,0.,0.,-,-,0.,0.,-0.0035,0.0167,-
2019//6//9,160,04::35:11,19::45:10,12::10:04,11.553,19.965,8.924,3.125,9.045,3.362,-,-,8.022,3.125,12.171,3.125,0.902,3.124,-6.,0.,75.57300000000001,2.606,0.8695069444444445,4.24,5.74,33.44,-0.0002,0.0016,0.,0.,-,-,0.,0.,-0.0027,0.0166,-
2019//6//10,161,04::35:01,19::45:43,12::10:16,11.563,19.982,8.594,3.125,8.704,3.362,-,-,7.2940000000000005,3.125,10.887,3.125,1.3,3.125,-5.979,0.,72.916,2.607,0.6455138888888888,2.77,10.44,33.61,-0.00030000000000000003,0.0016,0.,0.,-,-,0.,0.,-0.0022,0.0145,-
2019//6//11,162,04::34:52,19::46:15,12::10:28,11.573,19.978,8.224,3.125,8.369,3.362,-,-,6.885,3.125,10.125,3.125,1.339,3.124,-5.94,0.,70.93900000000001,2.6630000000000003,0.5409305555555556,2.7600000000000002,13.040000000000001,36.33,-0.0002,0.0012000000000000001,0.,0.,-,-,0.,0.,-0.0014,0.0119,-
2019//6//12,163,04::34:46,19::46:45,12::10:40,11.581,19.996,8.384,3.21,8.551,3.362,-,-,7.157,3.211,10.402000000000001,3.231,1.227,3.207,-5.9430000000000005,0.,71.09700000000001,2.661,0.735902777777778,3.58,15.530000000000001,35.61,0.,0.0006000000000000001,0.,0.,-,-,0.,0.,0.,0.0006000000000000001,-
2019//6//13,164,04::34:42,19::47:13,12::10:53,11.588000000000001,19.992,8.614,3.1350000000000002,8.694,3.362,-,-,7.601,3.1350000000000002,11.407,3.133,1.0130000000000001,3.134,-5.953,0.,70.714,2.6470000000000002,0.8290416666666668,3.74,14.46,33.44,-0.0018000000000000002,0.0057,0.,0.,-,-,0.,0.,-0.0029000000000000002,0.0129,-
2019//6//14,165,04::34:39,19::47:39,12::11:05,11.594,20.01,8.712,3.6950000000000003,8.823,3.362,-,-,7.782,3.71,11.691,3.545,0.93,3.569,-6.024,-0.027,72.721,2.618,0.7940138888888891,2.89,13.27,32.06,-0.0002,0.0012000000000000001,0.,0.,-,-,0.,0.,-0.0021000000000000003,0.0155,-
2019//6//15,166,04::34:39,19::48:05,12::11:18,11.599,20.006,8.64,3.125,8.598,3.362,-,-,6.511,3.125,10.25,3.125,2.128,3.126,-5.986,0.,70.143,2.699,0.7345347222222223,2.74,9.92,32.11,-0.0014,0.0045000000000000005,0.,0.,-,-,0.,0.,-0.0032,0.016,-
2019//6//16,167,04::34:41,19::48:26,12::11:31,11.603,20.002,8.656,3.125,8.684000000000001,3.362,-,-,7.623,3.125,11.436,3.125,1.033,3.125,-5.998,0.,71.375,2.637,0.8776736111111111,3.37,10.94,31.060000000000002,-0.0002,0.0012000000000000001,0.,0.,-,-,0.,0.,-0.0014,0.012,-
2019//6//17,168,04::34:45,19::48:48,12::11:44,11.606,20.021,8.731,3.125,8.763,3.362,-,-,7.776,3.125,11.661,3.125,0.9550000000000001,3.124,-6.011,0.,71.853,2.638,0.8717777777777779,2.94,11.47,31.28,0.,0.,0.,0.,-,-,0.,0.,-0.0007,0.0085,-
2019//6//18,169,04::34:50,19::49:07,12::11:57,11.608,20.018,8.756,3.125,8.790000000000001,3.362,-,-,7.973,3.125,12.039,3.125,0.784,3.124,19.521,5.748,71.233,2.62,0.921013888888889,3.25,11.83,31.,-0.0005,0.0027,0.,0.,-,-,0.,0.,-0.0037,0.0196,-
2019//6//19,170,04::34:58,19::49:23,12::12:10,11.609,20.015,8.893,3.125,8.867,3.362,-,-,8.085,3.125,12.335,3.125,0.808,3.124,20.05,5.702,73.149,2.602,0.9838194444444445,3.2800000000000002,10.21,27.72,-0.00030000000000000003,0.002,0.,0.,-,-,0.,0.,-0.0016,0.012100000000000001,-
2019//6//20,171,04::35:08,19::49:38,12::12:23,11.609,20.034,8.904,3.125,8.94,3.362,-,-,7.7940000000000005,3.125,11.36,3.125,1.11,3.124,20.653,5.655,75.85000000000001,2.575,1.259125,3.68,9.74,21.5,0.,0.,0.,0.,-,-,0.,0.,-0.0013000000000000002,0.012,-
2019//6//21,172,04::35:20,19::49:52,12::12:36,11.608,20.031,8.950000000000001,3.125,8.963000000000001,3.362,-,-,7.875,3.125,11.455,3.125,1.075,3.124,20.493000000000002,5.707,75.262,2.595,0.9739583333333335,3.,5.79,23.28,-0.0013000000000000002,0.004,0.,0.,-,-,0.,0.,-0.006200000000000001,0.0235,-
2019//6//22,173,04::35:34,19::50:03,12::12:49,11.606,20.007,8.763,3.125,8.744,3.362,-,-,7.878,3.125,11.917,3.125,0.885,3.125,19.685,5.8,72.449,2.606,0.8850347222222225,3.25,8.64,28.060000000000002,-0.0008,0.0035,0.,0.,-,-,0.,0.,-0.0054,0.0221,-
2019//6//23,174,04::35:49,19::50:12,12::13:02,11.603,20.005,8.818,3.125,8.801,3.362,-,-,7.9990000000000006,3.125,12.114,3.125,0.8190000000000001,3.124,19.801000000000002,5.807,72.765,2.609,0.8344027777777777,2.95,8.42,27.94,-0.004,0.0082,0.,0.,-,-,0.,0.,-0.0143,0.0366,-
2019//6//24,175,04::36:07,19::50:19,12::13:15,11.598,20.003,8.207,3.125,8.294,3.362,-,-,5.824,3.125,8.312,3.125,2.382,3.125,18.267,6.518,72.029,2.709,0.872763888888889,3.17,9.5,27.44,-0.0019,0.0053,0.,0.,-,-,0.,0.,-0.0094,0.028900000000000002,-
2019//6//25,176,04::36:27,19::50:23,12::13:28,11.593,20.001,8.144,3.125,8.278,3.362,-,-,6.367,3.125,8.811,3.125,1.7770000000000001,3.125,18.048000000000002,6.299,68.246,2.762,0.7636597222222224,3.16,10.21,26.11,-0.00030000000000000003,0.0016,0.,0.,-,-,0.,0.,-0.0009000000000000001,0.0086,-
2019//6//26,177,04::36:48,19::50:26,12::13:40,11.587,19.977,7.174,3.125,7.088,3.362,-,-,4.694,3.125,7.424,3.125,2.48,3.125,14.248000000000001,7.726,59.087,2.824,0.9658194444444446,4.59,7.08,24.39,0.,0.,0.,0.,-,-,0.,0.,-0.002,0.0146,-
2019//6//27,178,04::37:11,19::50:27,12::13:53,11.579,19.976,7.396,3.125,7.385,3.362,-,-,4.5840000000000005,3.125,7.288,3.125,2.8120000000000003,3.125,15.38,7.328,58.722,2.7920000000000003,0.7818194444444445,3.02,6.96,21.330000000000002,-0.0004,0.0021000000000000003,0.,0.,-,-,0.,0.,-0.0036000000000000003,0.0221,-
2019//6//28,179,04::37:36,19::50:25,12::14:05,11.571,19.953,8.163,3.125,8.195,3.362,-,-,6.806,3.125,10.292,3.125,1.357,3.125,18.1,6.172,68.766,2.6750000000000003,0.8310902777777778,3.2800000000000002,7.7,25.,-0.0012000000000000001,0.0038,0.,0.,-,-,0.,0.,-0.0031000000000000003,0.0148,-
2019//6//29,180,04::38:02,19::50:22,12::14:17,11.562,19.952,8.163,3.125,8.120000000000001,3.362,-,-,5.705,3.125,8.969,3.125,2.458,3.125,17.483,6.474,66.889,2.7,0.8318263888888892,3.08,8.76,26.330000000000002,-0.005,0.0088,0.,0.,-,-,0.,0.,-0.013300000000000001,0.0328,-
2019//6//30,181,04::38:31,19::50:17,12::14:29,11.551,19.929000000000002,8.129,3.125,8.267,3.362,-,-,6.313,3.125,8.696,3.125,1.816,3.125,18.19,6.1240000000000006,69.604,2.739,0.7744513888888889,3.25,10.24,29.39,-0.0014,0.0041,0.,0.,-,-,0.,0.,-0.0051,0.0204,-
2019//7//1,182,04::39:00,19::50:09,12::14:41,11.540000000000001,19.928,6.2940000000000005,3.125,6.324,3.362,-,-,3.726,3.125,5.453,3.142,2.557,3.129,12.376,8.499,55.022,2.994,1.0015486111111112,3.92,12.74,26.28,-0.0006000000000000001,0.0028,0.,0.,-,-,0.,0.,-0.0019,0.012100000000000001,-
2019//7//2,183,04::39:33,19::49:59,12::14:52,11.527000000000001,19.906,7.843,3.125,8.067,3.362,-,-,6.315,3.125,8.014,3.125,1.528,3.125,17.990000000000002,5.747,68.315,2.689,1.0413680555555556,3.33,13.74,25.11,-0.014700000000000001,0.0193,0.,0.,-,-,0.,0.,-0.024200000000000003,0.0392,-
2019//7//3,184,04::40:05,19::49:47,12::15:03,11.514000000000001,19.905,8.046,3.125,8.069,3.362,-,-,5.963,3.125,8.84,3.125,2.083,3.125,17.221,6.62,64.475,2.781,0.8179166666666668,2.93,9.72,27.,-0.0028,0.0073,0.,0.,-,-,0.,0.,-0.0081,0.024800000000000003,-
2019//7//4,185,04::40:40,19::49:32,12::15:14,11.499,19.883,8.639,3.1270000000000002,8.677,3.362,-,-,7.711,3.1270000000000002,11.649000000000001,3.132,0.926,3.138,18.926000000000002,6.058,69.834,2.64,0.7424322446143156,2.92,10.38,29.72,-0.003,0.0068000000000000005,0.,0.,-,-,0.,0.,-0.0091,0.027800000000000002,-
2019//7//5,186,04::41:16,19::49:16,12::15:25,11.484,19.862000000000002,8.364,3.125,8.452,3.362,-,-,6.913,3.125,10.219,3.125,1.451,3.125,18.131,6.243,64.244,2.851,0.7838125,2.95,12.08,31.11,-0.0019,0.0051,0.,0.,-,-,0.,0.,-0.0071,0.024900000000000002,-
2019//7//6,187,04::41:53,19::48:58,12::15:35,11.467,19.84,8.199,3.125,8.241,3.362,-,-,5.678,3.125,8.514,3.125,2.521,3.125,17.739,6.408,68.133,2.633,0.932576388888889,3.3000000000000003,12.11,28.5,-0.0006000000000000001,0.0025,0.,0.,-,-,0.,0.,-0.003,0.0165,-
2019//7//7,188,04::42:33,19::48:37,12::15:45,11.450000000000001,19.818,8.591,3.125,8.648,3.362,-,-,7.149,3.125,10.47,3.125,1.442,3.126,18.989,5.909,70.68,2.677,0.8363194444444446,3.36,9.9,28.22,-0.0005,0.003,0.,0.,-,-,0.,0.,-0.0018000000000000002,0.0119,-
2019//7//8,189,04::43:13,19::48:15,12::15:54,11.431000000000001,19.797,8.497,3.125,8.604000000000001,3.362,-,-,7.338,3.125,10.689,3.125,1.16,3.124,18.946,6.112,69.511,2.7520000000000002,0.7270208333333332,3.11,10.44,28.72,-0.0001,0.0012000000000000001,0.,0.,-,-,0.,0.,-0.0014,0.011600000000000001,-
2019//7//9,190,04::43:54,19::47:50,12::16:03,11.412,19.776,4.22,3.125,3.993,3.362,-,-,0.376,3.126,1.044,3.124,3.844,3.125,4.839,23.830000000000002,33.224000000000004,3.993,0.3362152777777778,2.35,13.950000000000001,24.17,-0.0002,0.0017000000000000001,0.,0.,-,-,0.,0.,-0.0014,0.011600000000000001,-
2019//7//10,191,04::44:38,19::47:23,12::16:11,11.392,19.733,7.559,3.125,7.688,3.362,-,-,5.308,3.125,7.821,3.125,2.251,3.125,15.764000000000001,7.025,59.759,2.762,0.7294583333333334,3.19,13.23,30.17,-0.0001,0.0008,0.,0.,-,-,0.,0.,-0.0019,0.014,-
2019//7//11,192,04::45:22,19::46:54,12::16:20,11.370000000000001,19.735,8.301,3.125,8.468,3.362,-,-,7.0280000000000005,3.125,10.084,3.125,1.2730000000000001,3.126,1.6640000000000001,27.19,69.124,2.64,0.863465277777778,3.12,14.08,31.330000000000002,-0.0002,0.0014,0.,0.,-,-,0.,0.,-0.0008,0.0082,-
2019//7//12,193,04::46:07,19::46:23,12::16:27,11.348,19.692,8.339,3.125,8.408,3.362,-,-,7.408,3.125,11.264,3.125,0.931,3.126,-5.979,-0.055,67.867,2.614,0.938013888888889,3.15,14.55,31.89,-0.0006000000000000001,0.0025,0.,0.,-,-,0.,0.,-0.0029000000000000002,0.0161,-
2019//7//13,194,04::46:53,19::45:50,12::16:34,11.324,19.672,7.957,3.125,8.175,3.362,-,-,6.684,3.125,9.248,3.125,1.272,3.126,-5.979,-0.055,65.739,2.758,0.8520694444444447,3.04,17.04,30.11,-0.0004,0.0022,0.,0.,-,-,0.,0.,-0.0034000000000000002,0.0178,-
2019//7//14,195,04::47:41,19::45:15,12::16:41,11.3,19.63,7.668,3.125,7.783,3.362,-,-,6.1000000000000005,3.125,8.928,3.125,1.568,3.126,-6.026,-0.027,64.34100000000001,2.797,0.8045486111111112,3.8200000000000003,13.59,31.5,-0.0001,0.001,0.,0.,-,-,0.,0.,-0.0018000000000000002,0.013800000000000002,-
2019//7//15,196,04::48:31,19::44:37,12::16:47,11.275,19.61,7.12,3.125,7.2940000000000005,3.362,-,-,4.716,3.125,6.268,3.125,2.404,3.125,-6.055,-0.162,60.564,2.777,0.8933680555555555,3.09,14.530000000000001,28.67,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//7//16,197,04::49:20,19::43:58,12::16:53,11.249,19.59,7.488,3.125,7.649,3.362,-,-,4.461,3.125,6.589,3.125,3.027,3.125,-5.9350000000000005,-0.11,61.138,2.786,0.9584097222222222,2.98,16.55,28.78,-0.001,0.0035,0.,0.,-,-,0.,0.,-0.0054,0.0221,-
2019//7//17,198,04::50:10,19::43:17,12::16:58,11.222,19.548000000000002,8.076,3.125,8.128,3.362,-,-,6.6610000000000005,3.125,10.336,3.125,1.415,3.124,-6.053,-0.054,66.238,2.674,0.8321180555555555,2.99,12.07,30.17,-0.0005,0.0028,0.,0.,-,-,0.,0.,-0.0034000000000000002,0.0176,-
2019//7//18,199,04::51:02,19::42:33,12::17:03,11.194,19.529,7.696,3.125,7.946,3.362,-,-,6.0120000000000005,3.125,8.328,3.125,1.684,3.125,-6.061,-0.108,63.998000000000005,2.759,1.0931458333333335,3.48,15.290000000000001,30.17,-0.0004,0.0024000000000000002,0.,0.,-,-,0.,0.,-0.0032,0.0182,-
2019//7//19,200,04::51:54,19::41:49,12::17:07,11.165000000000001,19.488,8.413,3.125,8.556000000000001,3.362,-,-,7.464,3.125,11.309000000000001,3.125,0.9490000000000001,3.126,15.123000000000001,5.713,69.984,2.633,0.864138888888889,3.21,10.39,29.67,-0.0037,0.008,0.,0.,-,-,0.,0.,-0.010700000000000001,0.032100000000000004,-
2019//7//20,201,04::52:48,19::41:02,12::17:10,11.135,19.447,8.269,3.125,8.431000000000001,3.362,-,-,7.297,3.125,11.102,3.125,0.972,3.125,17.91,6.247,68.586,2.657,0.7419305555555556,3.,10.870000000000001,31.17,-0.0025,0.0059,0.,0.,-,-,0.,0.,-0.008700000000000001,0.0262,-
2019//7//21,202,04::53:42,19::40:13,12::17:13,11.104000000000001,19.406,7.908,3.125,8.146,3.362,-,-,6.632000000000001,3.125,9.620000000000001,3.125,1.276,3.125,17.138,6.5280000000000005,66.663,2.771,0.7381736111111111,3.31,12.92,33.83,-0.0004,0.0025,0.,0.,-,-,0.,0.,-0.0053,0.0228,-
2019//7//22,203,04::54:37,19::39:22,12::17:16,11.072000000000001,19.365000000000002,7.744,3.125,7.961,3.362,-,-,6.401,3.125,9.694,3.125,1.343,3.125,16.418,6.745,63.418,2.737,0.8059930555555558,3.0100000000000002,15.96,33.06,-0.0012000000000000001,0.0038,0.,0.,-,-,0.,0.,-0.0054,0.021500000000000002,-
2019//7//23,204,04::55:33,19::38:28,12::17:18,11.039,19.346,8.039,3.125,8.239,3.362,-,-,6.96,3.125,10.463000000000001,3.125,1.079,3.124,17.535,6.399,66.893,2.689,1.0307569444444447,3.38,13.77,31.560000000000002,-0.004200000000000001,0.0089,0.,0.,-,-,0.,0.,-0.0078000000000000005,0.0222,-
2019//7//24,205,04::56:30,19::37:34,12::17:19,11.006,19.328,8.172,3.125,8.359,3.362,-,-,7.266,3.125,11.145,3.125,0.907,3.124,17.801000000000002,6.267,66.708,2.636,0.7708611111111112,2.87,10.88,31.720000000000002,-0.0008,0.0033,0.,0.,-,-,0.,0.,-0.0018000000000000002,0.0112,-
2019//7//25,206,04::57:27,19::36:38,12::17:20,10.972,19.288,6.964,3.125,7.213,3.362,-,-,5.0440000000000005,3.125,7.24,3.125,1.919,3.126,14.588000000000001,7.378,63.805,2.701,0.5296944444444445,2.83,12.41,34.61,-0.0006000000000000001,0.0027,0.,0.,-,-,0.,0.,-0.0047,0.0236,-
2019//7//26,207,04::58:24,19::35:40,12::17:20,10.936,19.248,6.976,3.125,7.296,3.362,-,-,4.642,3.125,6.178,3.125,2.335,3.125,14.441,7.578,60.17,2.773,0.6726388888888888,2.89,15.23,33.94,-0.0001,0.0014,0.,0.,-,-,0.,0.,-0.0027,0.016800000000000002,-
2019//7//27,208,04::59:22,19::34:41,12::17:19,10.9,19.208000000000002,7.699,3.125,8.036,3.362,-,-,6.095,3.125,8.485,3.125,1.604,3.124,16.764,6.655,65.182,2.727,0.6906111111111112,3.0700000000000003,13.6,32.5,-0.0056,0.010700000000000001,0.,0.,-,-,0.,0.,-0.011300000000000001,0.028,-
2019//7//28,209,05::00:21,19::33:39,12::17:18,10.863,19.168,7.187,3.125,7.4910000000000005,3.362,-,-,4.947,3.125,6.862,3.125,2.241,3.124,14.98,7.349,61.442,2.773,0.784513888888889,3.11,13.620000000000001,32.89,-0.0007,0.0033,0.,0.,-,-,0.,0.,-0.0031000000000000003,0.0167,-
2019//7//29,210,05::01:20,19::32:36,12::17:16,10.825000000000001,19.129,7.1930000000000005,3.125,7.455,3.362,-,-,4.989,3.125,7.166,3.125,2.204,3.125,14.886000000000001,7.472,62.056000000000004,2.746,0.7876388888888891,3.2800000000000002,12.69,30.39,-0.0007,0.003,0.,0.,-,-,0.,0.,-0.0031000000000000003,0.0166,-
2019//7//30,211,05::02:19,19::31:31,12::17:14,10.786,19.089,7.421,3.125,7.698,3.362,-,-,5.485,3.125,8.015,3.125,1.936,3.124,15.762,7.098,62.402,2.7800000000000002,0.7699374999999998,3.23,12.89,30.5,-0.0004,0.0025,0.,0.,-,-,0.,0.,-0.0023,0.0155,-
2019//7//31,212,05::03:19,19::30:25,12::17:11,10.747,19.028,7.785,3.125,8.103,3.362,-,-,6.529,3.125,9.933,3.125,1.256,3.124,16.729,6.62,64.293,2.722,0.6771111111111111,3.0700000000000003,10.92,31.830000000000002,-0.0005,0.0027,0.,0.,-,-,0.,0.,-0.0034000000000000002,0.0179,-
2019//8//1,213,05::04:19,19::29:17,12::17:08,10.706,18.989,7.603,3.125,7.963,3.362,-,-,6.102,3.125,9.355,3.125,1.502,3.124,16.209,6.761,62.2,2.697,0.7812013888888889,2.95,14.540000000000001,33.83,-0.0002,0.0015,0.,0.,-,-,0.,0.,-0.0036000000000000003,0.019200000000000002,-
2019//8//2,214,05::05:20,19::28:08,12::17:03,10.665000000000001,18.95,7.8340000000000005,3.125,8.183,3.362,-,-,6.905,3.125,10.669,3.125,0.928,3.126,16.961000000000002,6.471,63.828,2.625,0.7223125,3.,12.88,31.830000000000002,-0.0026000000000000003,0.0071,0.,0.,-,-,0.,0.,-0.0059,0.021400000000000002,-
2019//8//3,215,05::06:21,19::26:57,12::16:59,10.623000000000001,18.911,7.577,3.1310000000000002,7.949,3.362,-,-,6.458,3.132,9.851,3.13,1.119,3.125,16.239,6.739,62.012,2.696,0.7508819444444444,3.08,15.47,34.22,-0.0001,0.0011,0.,0.,-,-,0.,0.,-0.0011,0.0103,-
2019//8//4,216,05::07:22,19::25:45,12::16:53,10.58,18.872,6.968,3.125,7.356,3.362,-,-,5.5280000000000005,3.125,8.083,3.125,1.44,3.125,14.384,7.324,62.081,2.826,0.6580624999999999,2.9,16.53,35.83,0.,0.0005,0.,0.,-,-,0.,0.,-0.0015,0.0125,-
2019//8//5,217,05::08:24,19::24:30,12::16:47,10.537,18.834,7.498,3.125,7.898000000000001,3.362,-,-,6.0440000000000005,3.125,9.114,3.125,1.454,3.125,16.002,6.798,63.160000000000004,2.6470000000000002,0.7512222222222223,3.0100000000000002,17.080000000000002,35.78,-0.00030000000000000003,0.0019,0.,0.,-,-,0.,0.,-0.0016,0.0125,-
2019//8//6,218,05::09:26,19::23:16,12::16:41,10.492,18.773,6.892,3.125,7.295,3.362,-,-,4.914,3.14,7.2940000000000005,3.137,1.978,3.133,13.995000000000001,7.7490000000000006,54.055,2.803,0.5204722222222222,2.82,17.04,35.56,0.,0.0005,0.,0.,-,-,0.,0.,-0.001,0.010100000000000001,-
2019//8//7,219,05::10:28,19::21:59,12::16:34,10.447000000000001,18.735,7.274,3.125,7.649,3.362,-,-,5.761,3.125,8.857,3.125,1.5130000000000001,3.125,15.117,7.045,60.61,2.686,0.8032222222222223,3.22,16.2,34.39,0.,0.,0.,0.,-,-,0.,0.,-0.0005,0.0071,-
2019//8//8,220,05::11:31,19::20:40,12::16:26,10.401,18.696,6.455,3.125,6.764,3.362,-,-,4.694,3.125,6.643,3.125,1.762,3.124,13.428,7.493,53.009,2.984,0.8657986111111111,3.52,13.43,27.72,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//8//9,221,05::12:33,19::19:21,12::16:18,10.354000000000001,18.635,4.408,3.125,4.409,3.362,-,-,1.268,3.125,2.303,3.124,3.14,3.125,6.303,16.118000000000002,37.218,3.4,0.48804861111111114,2.72,13.14,24.44,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//8//10,222,05::13:35,19::18:01,12::16:09,10.306000000000001,18.576,5.609,3.125,5.792,3.362,-,-,2.939,3.125,4.8790000000000004,3.125,2.669,3.125,11.363,8.754,52.193,3.065,0.5307152777777777,3.0700000000000003,10.75,21.67,-0.013800000000000002,0.015000000000000001,0.,0.,-,-,0.,0.,-0.1514,0.1647,-
2019//8//11,223,05::14:37,19::16:38,12::15:59,10.258000000000001,18.539,7.2410000000000005,3.125,7.913,3.362,-,-,5.83,3.125,8.393,3.125,1.41,3.126,18.14,5.925,65.685,2.669,0.5628958333333333,2.7800000000000002,13.98,25.67,-0.0164,0.0151,0.,0.,-,-,0.,0.,-0.1794,0.164,-
2019//8//12,224,05::15:40,19::15:16,12::15:49,10.209,18.479,7.488,3.137,8.123,3.362,-,-,6.469,3.134,10.202,3.172,1.0190000000000001,3.124,18.358,6.006,67.877,2.6,0.5249166666666667,2.89,10.31,30.44,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//8//13,225,05::16:43,19::13:52,12::15:38,10.159,18.441,7.3420000000000005,3.125,7.9990000000000006,3.362,-,-,6.289,3.1310000000000002,9.743,3.133,1.053,3.132,18.025000000000002,6.008,65.768,2.62,0.6056111111111111,2.84,11.9,32.06,0.,0.0005,0.,0.,-,-,0.,0.,-0.0005,0.006900000000000001,-
2019//8//14,226,05::17:45,19::12:25,12::15:27,10.109,18.404,7.345,3.125,8.036,3.362,-,-,6.4510000000000005,3.125,10.249,3.125,0.894,3.125,17.781,6.109,61.897,2.716,0.6219305555555555,2.98,13.76,33.39,-0.0002,0.0017000000000000001,0.,0.,-,-,0.,0.,-0.0002,0.0017000000000000001,-
2019//8//15,227,05::18:48,19::11:00,12::15:16,10.058,18.344,7.417,3.125,8.122,3.362,-,-,6.65,3.125,10.657,3.125,0.767,3.126,18.13,6.054,65.894,2.56,0.7129375000000001,3.34,13.4,32.33,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//8//16,228,05::19:51,19::09:31,12::15:03,10.006,18.307,7.436,3.125,8.157,3.362,-,-,6.514,3.125,10.376,3.125,0.922,3.123,18.259,6.002,67.307,2.604,0.6854097222222222,3.15,12.02,31.,0.,0.,0.,0.,-,-,0.,0.,0.,0.,-
2019//8//17,229,05::20:54,19::08:03,12::14:51,9.953,18.248,7.324,3.125,8.078,3.362,-,-,6.2940000000000005,3.125,10.028,3.125,1.03,3.125,17.844,6.105,66.538,2.595,0.5503680555555556,2.8000000000000003,9.790000000000001,30.67,-0.0011,0.0038,0.,0.,-,-,0.,0.,-0.0058000000000000005,0.0253,-
2019//8//18,230,05::21:57,19::06:33,12::14:37,9.9,18.21,7.151,3.125,7.917,3.362,-,-,6.174,3.125,9.849,3.125,0.977,3.125,17.435,6.211,64.7,2.604,0.6148541666666667,2.98,11.47,32.61,0.,0.,0.,0.,-,-,0.,0.,-0.0012000000000000001,0.012400000000000001,-
