YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2014//3//29,88,05::51:56,18::26:39,12::08:55,8.322000000000001,17.127,3.6870000000000003,2.525,2.208,4.638,0.47300000000000003,2.525,1.033,2.524,3.214,2.527,-1.48,8.32,-0.001,0.0035,0.0023,0.005200000000000001,0.,0.,-0.0016,0.0126,-
2014//3//30,89,05::50:10,18::27:50,12::08:37,8.393,17.185,4.495,2.848,3.234,5.28,2.123,3.06,4.112,3.45,2.373,2.527,-3.58,6.18,-0.0056,0.010100000000000001,0.011000000000000001,0.0125,0.,0.,-0.011300000000000001,0.0366,-
2014//3//31,90,05::48:25,18::29:00,12::08:19,8.463000000000001,17.243000000000002,3.212,2.5260000000000002,1.922,4.638,0.466,2.5260000000000002,0.8,2.5260000000000002,2.746,2.527,-1.36,6.26,-0.0196,0.0184,0.0267,0.017,0.,0.,-0.0363,0.061000000000000006,-
2014//4//1,91,05::46:39,18::30:10,12::08:01,8.532,17.279,1.958,2.527,0.889,4.64,0.,100,0.,100,1.958,2.531,-1.81,3.21,-0.0322,0.0219,0.042,0.02,0.,0.,-0.06960000000000001,0.08560000000000001,-
2014//4//2,92,05::44:53,18::31:20,12::07:43,8.601,17.337,6.1000000000000005,2.525,5.043,4.638,4.817,2.525,7.508,2.525,1.282,2.532,-8.620000000000001,11.34,-0.024800000000000003,0.032100000000000004,0.0334,0.0316,0.,0.,-0.0426,0.0738,-
2014//4//3,93,05::43:08,18::32:29,12::07:26,8.67,17.417,3.597,2.5260000000000002,2.061,4.638,0.426,2.525,0.9,2.525,3.1710000000000003,2.527,-4.32,9.64,-0.0085,0.0103,0.0162,0.013800000000000002,0.,0.,-0.0229,0.0568,-
2014//4//4,94,05::41:25,18::33:39,12::07:08,8.738,17.475,3.247,2.525,1.841,4.638,0.793,2.525,1.703,2.525,2.454,2.528,-0.3,9.77,-0.010400000000000001,0.013600000000000001,0.015600000000000001,0.0146,0.,0.,-0.0207,0.0494,-
2014//4//5,95,05::39:40,18::34:50,12::06:51,8.806000000000001,17.51,3.9410000000000003,2.525,2.4130000000000003,4.639,0.764,2.524,1.0190000000000001,2.524,3.177,2.527,-0.05,12.25,-0.021400000000000002,0.0238,0.019700000000000002,0.0201,0.,0.,-0.0364,0.06330000000000001,-
2014//4//6,96,05::37:55,18::36:00,12::06:34,8.873,17.567,6.434,2.525,4.66,4.639,4.664,2.525,7.53,2.525,1.77,2.528,-0.09,17.51,-0.0061,0.009000000000000001,0.0073,0.0092,0.,0.,-0.0154,0.0455,-
2014//4//7,97,05::36:12,18::37:10,12::06:17,8.939,17.625,6.884,2.547,4.904,4.638,5.796,2.581,9.88,2.571,1.087,2.579,-4.5,23.16,-0.0109,0.014,0.0145,0.0161,0.,0.,-0.020300000000000002,0.0482,-
2014//4//8,98,05::34:30,18::38:19,12::06:01,9.005,17.682,6.165,2.525,4.495,4.638,4.017,2.525,6.316,2.525,2.148,2.527,-0.29,23.1,-0.0043,0.0076,0.0045000000000000005,0.0073,0.,0.,-0.007,0.0257,-
2014//4//9,99,05::32:47,18::39:28,12::05:44,9.071,17.740000000000002,6.767,2.525,4.634,4.638,5.623,2.525,9.75,2.525,1.1440000000000001,2.528,-2.19,20.23,-0.010400000000000001,0.0135,0.0117,0.0118,0.,0.,-0.018000000000000002,0.044000000000000004,-
2014//4//10,100,05::31:05,18::40:38,12::05:28,9.136000000000001,17.797,7.236,2.565,4.829,4.638,6.414,2.5580000000000003,11.158,2.645,0.8230000000000001,2.528,-4.92,20.240000000000002,-0.038400000000000004,0.0358,0.041800000000000004,0.031400000000000004,0.,0.,-0.06770000000000001,0.0864,-
2014//4//11,101,05::29:24,18::41:49,12::05:12,9.200000000000001,17.854,6.763,2.525,4.362,4.639,4.994,2.525,9.031,2.525,1.77,2.527,-3.65,21.73,-0.0218,0.027800000000000002,0.028900000000000002,0.0296,0.,0.,-0.0391,0.0678,-
2014//4//12,102,05::27:42,18::42:59,12::04:57,9.264,17.889,7.447,2.525,4.86,4.638,6.587,2.525,11.368,2.525,0.86,2.5300000000000002,-4.32,18.43,-0.0117,0.012700000000000001,0.021,0.0161,0.,0.,-0.0235,0.0533,-
2014//4//13,103,05::26:02,18::44:08,12::04:42,9.327,17.946,7.452,2.525,4.735,4.638,6.67,2.525,11.523,2.525,0.782,2.531,-6.49,16.14,-0.033100000000000004,0.0239,0.0591,0.0262,0.,0.,-0.061500000000000006,0.0776,-
2014//4//14,104,05::24:23,18::45:18,12::04:27,9.39,18.004,6.452,2.525,4.171,4.639,3.973,2.525,6.597,2.525,2.479,2.527,-7.38,21.72,-0.0489,0.054200000000000005,0.06380000000000001,0.06420000000000001,0.,0.,-0.07740000000000001,0.10060000000000001,-
2014//4//15,105,05::22:44,18::46:27,12::04:12,9.452,18.061,6.541,2.525,4.323,4.638,3.777,2.525,5.527,2.525,2.7640000000000002,2.527,0.02,15.6,-0.002,0.0048000000000000004,0.0043,0.0064,0.,0.,-0.0028,0.0137,-
2014//4//16,106,05::21:05,18::47:37,12::03:58,9.513,18.118000000000002,6.384,2.525,4.0040000000000004,4.638,4.229,2.525,6.545,2.525,2.1550000000000002,2.528,-3.75,16.830000000000002,-0.0088,0.0125,0.0158,0.0165,0.,0.,-0.014,0.037000000000000005,-
2014//4//17,107,05::19:29,18::48:47,12::03:44,9.573,18.175,3.793,2.525,1.957,4.6370000000000005,1.2730000000000001,2.525,2.844,2.525,2.52,2.527,0.84,17.12,-0.014700000000000001,0.016300000000000002,0.0175,0.0149,0.,0.,-0.0323,0.06380000000000001,-
2014//4//18,108,05::17:51,18::49:58,12::03:31,9.633000000000001,18.21,7.113,2.525,4.483,4.638,5.166,2.525,8.062,2.525,1.947,2.528,-2.05,17.2,-0.0386,0.0369,0.038200000000000005,0.033,0.,0.,-0.07250000000000001,0.08850000000000001,-
2014//4//19,109,05::16:16,18::51:07,12::03:18,9.693,18.267,6.755,2.525,4.163,4.638,4.258,2.525,6.588,2.525,2.497,2.5260000000000002,-4.71,17.5,-0.0287,0.0228,0.027700000000000002,0.0187,0.,0.,-0.0454,0.0635,-
2014//4//20,110,05::14:40,18::52:17,12::03:05,9.751,18.302,7.085,2.525,4.384,4.638,5.074,2.525,7.259,2.525,2.0100000000000002,2.528,-5.8,20.77,-0.0415,0.0395,0.045000000000000005,0.0385,0.,0.,-0.07100000000000001,0.09040000000000001,-
2014//4//21,111,05::13:06,18::53:26,12::02:53,9.809000000000001,18.381,5.635,2.525,3.305,4.639,1.972,2.525,2.994,2.525,3.6630000000000003,2.527,0.25,19.57,-0.018000000000000002,0.0211,0.015300000000000001,0.016300000000000002,0.,0.,-0.029900000000000003,0.0557,-
2014//4//22,112,05::11:34,18::54:36,12::02:41,9.866,18.437,5.955,2.525,3.479,4.639,3.223,2.525,4.521,2.525,2.733,2.528,0.29,8.83,-0.023100000000000002,0.0187,0.0212,0.0137,0.,0.,-0.0466,0.07150000000000001,-
2014//4//23,113,05::10:00,18::55:46,12::02:30,9.922,18.473,4.181,2.525,2.247,4.639,0.403,2.524,0.8,2.525,3.778,2.527,-0.12,9.84,-0.0351,0.0257,0.0362,0.022500000000000003,0.,0.,-0.06770000000000001,0.08460000000000001,-
2014//4//24,114,05::08:30,18::56:56,12::02:19,9.978,18.53,5.99,2.5260000000000002,3.3120000000000003,4.638,3.325,2.525,5.2700000000000005,2.525,2.665,2.529,2.14,12.370000000000001,-0.0229,0.0195,0.0177,0.0119,0.,0.,-0.043300000000000005,0.0673,-
2014//4//25,115,05::06:59,18::58:05,12::02:09,10.032,18.565,5.267,2.525,3.016,4.638,2.134,2.525,3.071,2.525,3.132,2.528,-4.48,9.,-0.0438,0.028900000000000002,0.0454,0.028800000000000003,0.,0.,-0.0763,0.0845,-
2014//4//26,116,05::05:31,18::59:15,12::01:59,10.086,18.622,7.642,2.525,4.233,4.638,5.831,2.525,8.894,2.525,1.811,2.528,-7.0600000000000005,10.23,-0.0821,0.0734,0.08120000000000001,0.0693,0.,0.,-0.12440000000000001,0.1136,-
2014//4//27,117,05::04:01,19::00:23,12::01:50,10.139,18.657,7.282,2.537,3.935,4.639,5.643,2.5420000000000003,8.368,2.544,1.639,2.535,-4.16,9.47,-0.0233,0.0205,0.021,0.0151,0.,0.,-0.041,0.06520000000000001,-
2014//4//28,118,05::02:35,19::01:32,12::01:41,10.192,18.714,7.945,2.525,4.111,4.638,6.849,2.525,10.685,2.525,1.096,2.529,-8.86,15.56,-0.048400000000000006,0.042,0.0522,0.0437,0.,0.,-0.0809,0.09530000000000001,-
2014//4//29,119,05::01:08,19::02:42,12::01:33,10.243,18.771,7.864,2.525,3.969,4.638,6.746,2.525,10.606,2.525,1.118,2.529,-5.24,20.92,-0.020800000000000003,0.027200000000000002,0.0247,0.0275,0.,0.,-0.043300000000000005,0.0767,-
2014//4//30,120,04::59:43,19::03:51,12::01:25,10.294,18.806,8.158,2.525,4.048,4.638,7.024,2.525,11.293000000000001,2.525,1.1340000000000001,2.528,-3.68,24.55,-0.006900000000000001,0.0098,0.0091,0.0106,0.,0.,-0.0109,0.0315,-
2014//5//1,121,04::58:20,19::05:00,12::01:18,10.344,18.863,7.656000000000001,2.525,3.997,4.639,5.547,2.525,9.068,2.525,2.108,2.5300000000000002,-3.12,28.53,-0.008,0.013800000000000002,0.009300000000000001,0.0134,0.,0.,-0.0158,0.0451,-
2014//5//2,122,04::56:57,19::06:09,12::01:11,10.393,18.898,6.849,2.525,3.483,4.639,3.314,2.525,6.04,2.525,3.5340000000000003,2.528,1.83,25.51,-0.0018000000000000002,0.0045000000000000005,0.0019,0.0043,0.,0.,-0.0061,0.0313,-
2014//5//3,123,04::55:37,19::07:17,12::01:05,10.441,18.933,7.982,2.5260000000000002,3.9010000000000002,4.639,6.437,2.525,10.217,2.525,1.545,2.533,0.08,19.64,-0.0073,0.0115,0.0066,0.0081,0.,0.,-0.0162,0.0458,-
2014//5//4,124,04::54:17,19::08:25,12::00:59,10.488,18.990000000000002,6.8790000000000004,2.5260000000000002,3.228,4.639,3.6270000000000002,2.525,6.189,2.525,3.253,2.528,2.18,15.16,-0.0123,0.0123,0.0114,0.009600000000000001,0.,0.,-0.024900000000000002,0.055400000000000005,-
2014//5//5,125,04::52:58,19::09:32,12::00:54,10.535,19.048000000000002,4.968,2.5260000000000002,2.4090000000000003,4.641,1.869,2.524,3.036,2.525,3.099,2.529,-3.98,9.71,-0.0867,0.0482,0.0682,0.0398,0.,0.,-0.12710000000000002,0.09340000000000001,-
2014//5//6,126,04::51:41,19::10:41,12::00:50,10.58,19.083000000000002,7.162,2.5260000000000002,3.326,4.639,4.761,2.525,8.147,2.525,2.402,2.529,-3.72,15.26,-0.0872,0.035500000000000004,0.0779,0.0317,0.,0.,-0.13390000000000002,0.0935,-
2014//5//7,127,04::50:26,19::11:48,12::00:46,10.625,19.141000000000002,7.992,2.531,3.818,4.639,6.367,2.531,8.776,2.5300000000000002,1.625,2.532,-3.92,16.39,-0.0592,0.0376,0.0675,0.033600000000000005,0.,0.,-0.09340000000000001,0.0872,-
2014//5//8,128,04::49:11,19::12:56,12::00:42,10.669,19.176000000000002,3.61,2.528,1.831,4.642,0.20800000000000002,2.529,0.291,2.524,3.402,2.532,-0.12,14.47,-0.0488,0.0473,0.0499,0.0432,0.,0.,-0.0738,0.0884,-
2014//5//9,129,04::47:58,19::14:02,12::00:40,10.712,19.211000000000002,6.496,2.5260000000000002,3.164,4.639,3.516,2.525,5.133,2.525,2.98,2.529,0.68,12.450000000000001,-0.0247,0.022500000000000003,0.025,0.018000000000000002,0.,0.,-0.038200000000000005,0.0574,-
2014//5//10,130,04::46:47,19::15:09,12::00:37,10.754,19.247,5.799,2.5260000000000002,2.694,4.639,2.855,2.525,4.824,2.525,2.944,2.529,-3.02,11.03,-0.0965,0.0458,0.08270000000000001,0.042100000000000005,0.,0.,-0.14880000000000002,0.098,-
2014//5//11,131,04::45:38,19::16:14,12::00:36,10.795,19.282,8.501,2.614,3.593,4.639,7.377,2.601,11.242,2.753,1.124,2.533,-7.07,16.78,-0.124,0.062,0.1124,0.0517,0.,0.,-0.17350000000000002,0.09960000000000001,-
2014//5//12,132,04::44:31,19::17:19,12::00:35,10.835,19.34,8.043000000000001,2.525,3.67,4.639,5.487,2.525,8.278,2.525,2.556,2.529,-5.,20.42,-0.0791,0.054200000000000005,0.0753,0.0494,0.,0.,-0.12510000000000002,0.1034,-
2014//5//13,133,04::43:24,19::18:24,12::00:34,10.874,19.376,8.466,2.5260000000000002,3.54,4.639,7.2010000000000005,2.525,11.21,2.525,1.2650000000000001,2.5340000000000003,-3.63,24.82,-0.059500000000000004,0.049800000000000004,0.055600000000000004,0.0392,0.,0.,-0.096,0.0999,-
2014//5//14,134,04::42:19,19::19:28,12::00:34,10.912,19.434,8.527000000000001,2.5260000000000002,3.528,4.639,7.261,2.525,11.189,2.525,1.266,2.5340000000000003,-0.56,27.7,-0.0358,0.0402,0.033100000000000004,0.0327,0.,0.,-0.063,0.0888,-
2014//5//15,135,04::41:16,19::20:32,12::00:35,10.950000000000001,19.47,7.013,2.5260000000000002,3.4530000000000003,4.64,2.836,2.525,4.14,2.525,4.1770000000000005,2.528,2.2,29.07,-0.0115,0.0166,0.0126,0.0161,0.,0.,-0.0217,0.052000000000000005,-
2014//5//16,136,04::40:14,19::21:35,12::00:36,10.986,19.505,7.642,2.5260000000000002,3.406,4.64,4.999,2.525,7.3420000000000005,2.525,2.6430000000000002,2.531,2.67,24.32,-0.01,0.019,0.009600000000000001,0.016,0.,0.,-0.020800000000000003,0.0548,-
2014//5//17,137,04::39:15,19::22:38,12::00:38,11.021,19.542,8.69,2.525,3.5420000000000003,4.639,7.311,2.5340000000000003,11.085,2.532,1.379,2.543,-1.3800000000000001,22.34,-0.0834,0.077,0.0661,0.0597,0.,0.,-0.1198,0.1207,-
2014//5//18,138,04::38:17,19::23:40,12::00:40,11.056000000000001,19.578,7.8340000000000005,2.5260000000000002,3.335,4.64,4.0440000000000005,2.525,6.79,2.525,3.791,2.528,1.35,15.93,-0.0903,0.0635,0.0776,0.0494,0.,0.,-0.13720000000000002,0.11,-
2014//5//19,139,04::37:21,19::24:41,12::00:43,11.089,19.614,5.2620000000000005,2.527,2.511,4.642,2.0460000000000003,2.525,2.601,2.525,3.216,2.531,-0.26,15.65,-0.07050000000000001,0.0575,0.061700000000000005,0.045200000000000004,0.,0.,-0.1067,0.09910000000000001,-
2014//5//20,140,04::36:27,19::25:41,12::00:46,11.122,19.650000000000002,8.382,2.573,3.336,4.64,6.582,2.566,10.326,2.6670000000000003,1.8,2.602,1.94,19.28,-0.024300000000000002,0.0253,0.024,0.0206,0.,0.,-0.0463,0.0762,-
2014//5//21,141,04::35:34,19::26:41,12::00:50,11.153,19.665,8.865,2.525,3.3850000000000002,4.639,7.333,2.525,11.517,2.525,1.532,2.531,-0.36,23.51,-0.0327,0.0313,0.0262,0.021400000000000002,0.,0.,-0.0639,0.0863,-
2014//5//22,142,04::34:43,19::27:39,12::00:55,11.184000000000001,19.701,8.177,2.5260000000000002,3.239,4.639,6.906000000000001,2.525,9.808,2.525,1.2710000000000001,2.535,0.68,26.26,-0.051800000000000006,0.0562,0.0419,0.0432,0.,0.,-0.07440000000000001,0.0965,-
2014//5//23,143,04::33:54,19::28:37,12::01:00,11.213000000000001,19.738,4.92,2.5260000000000002,2.186,4.639,1.7530000000000001,2.525,2.794,2.525,3.1670000000000003,2.528,4.79,25.41,-0.0217,0.0175,0.019100000000000002,0.012,0.,0.,-0.0472,0.07400000000000001,-
2014//5//24,144,04::33:08,19::29:34,12::01:05,11.241,19.775000000000002,8.6,2.525,3.2920000000000003,4.638,6.8340000000000005,2.525,10.462,2.525,1.766,2.532,-0.24,25.580000000000002,-0.0352,0.043300000000000005,0.027800000000000002,0.0317,0.,0.,-0.054200000000000005,0.0825,-
2014//5//25,145,04::32:24,19::30:29,12::01:11,11.269,19.812,7.699,2.5260000000000002,3.329,4.639,4.4110000000000005,2.525,6.6240000000000006,2.525,3.289,2.528,4.3100000000000005,25.93,-0.027200000000000002,0.031900000000000005,0.0279,0.025,0.,0.,-0.0489,0.07830000000000001,-
2014//5//26,146,04::31:41,19::31:25,12::01:18,11.295,19.805,7.765000000000001,2.5260000000000002,2.92,4.64,5.428,2.525,9.136000000000001,2.525,2.337,2.5300000000000002,2.5300000000000002,22.95,-0.031,0.031400000000000004,0.027200000000000002,0.0228,0.,0.,-0.055400000000000005,0.0776,-
2014//5//27,147,04::30:59,19::32:19,12::01:25,11.321,19.842,8.453,2.525,3.239,4.638,6.449,2.525,9.567,2.525,2.005,2.5300000000000002,-0.89,21.240000000000002,-0.0618,0.044700000000000004,0.0575,0.0347,0.,0.,-0.1015,0.1009,-
2014//5//28,148,04::30:21,19::33:12,12::01:32,11.345,19.879,7.711,2.5260000000000002,3.029,4.638,5.146,2.525,8.225,2.525,2.565,2.5300000000000002,-2.94,15.23,-0.10400000000000001,0.08360000000000001,0.0937,0.06770000000000001,0.,0.,-0.1685,0.129,-
2014//5//29,149,04::29:44,19::34:03,12::01:40,11.368,19.895,9.143,2.565,3.1750000000000003,4.639,7.988,2.5580000000000003,12.537,2.6710000000000003,1.155,2.532,-6.96,20.36,-0.1365,0.112,0.12090000000000001,0.0883,0.,0.,-0.16740000000000002,0.1404,-
2014//5//30,150,04::29:10,19::34:53,12::01:48,11.39,19.932000000000002,7.149,2.5260000000000002,2.826,4.639,5.072,2.525,7.3180000000000005,2.525,2.077,2.5340000000000003,-2.7600000000000002,26.64,-0.10490000000000001,0.0971,0.0835,0.0743,0.,0.,-0.14,0.13240000000000002,-
2014//5//31,151,04::28:37,19::35:42,12::01:57,11.412,19.948,8.192,2.5260000000000002,2.946,4.64,6.479,2.525,10.265,2.525,1.713,2.532,0.14,23.,-0.0574,0.0366,0.0446,0.0241,0.,0.,-0.0954,0.0946,-
2014//6//1,152,04::28:07,19::36:29,12::02:06,11.432,19.964000000000002,8.143,2.525,3.1350000000000002,4.639,6.6000000000000005,2.525,9.316,2.525,1.543,2.531,0.25,26.080000000000002,-0.0645,0.0555,0.0524,0.0427,0.,0.,-0.0981,0.1046,-
2014//6//2,153,04::27:39,19::37:16,12::02:16,11.451,19.98,4.952,2.5260000000000002,1.815,4.638,3.3000000000000003,2.525,5.62,2.525,1.6520000000000001,2.5300000000000002,2.35,26.5,-0.041,0.0323,0.033,0.022500000000000003,0.,0.,-0.0791,0.0942,-
2014//6//3,154,04::27:12,19::38:01,12::02:26,11.469,20.018,9.004,2.525,2.958,4.638,7.941,2.525,12.293000000000001,2.525,1.062,2.5340000000000003,2.42,24.88,-0.0514,0.0337,0.0351,0.0204,0.,0.,-0.0882,0.0902,-
2014//6//4,155,04::26:48,19::38:44,12::02:36,11.486,20.035,9.279,2.529,2.999,4.638,8.396,2.529,13.056000000000001,2.528,0.883,2.535,-1.75,26.400000000000002,-0.08660000000000001,0.081,0.065,0.0587,0.,0.,-0.1295,0.12480000000000001,-
2014//6//5,156,04::26:27,19::39:26,12::02:47,11.502,20.051000000000002,9.151,2.5300000000000002,2.972,4.639,8.247,2.529,12.749,2.533,0.903,2.536,0.79,26.68,-0.0405,0.0414,0.0328,0.0315,0.,0.,-0.0648,0.0859,-
2014//6//6,157,04::26:06,19::40:07,12::02:57,11.517,20.068,9.097,2.525,2.985,4.638,8.024000000000001,2.525,12.325000000000001,2.525,1.073,2.533,1.86,26.18,-0.044000000000000004,0.042100000000000005,0.0349,0.0279,0.,0.,-0.0777,0.0925,-
2014//6//7,158,04::25:49,19::40:45,12::03:09,11.53,20.085,8.689,2.525,2.982,4.638,7.1160000000000005,2.525,10.649000000000001,2.525,1.573,2.531,2.24,25.580000000000002,-0.023700000000000002,0.0263,0.017400000000000002,0.016,0.,0.,-0.045700000000000005,0.0746,-
2014//6//8,159,04::25:34,19::41:22,12::03:20,11.543000000000001,20.080000000000002,8.988,2.525,3.019,4.638,7.666,2.525,11.377,2.525,1.321,2.533,2.85,26.650000000000002,-0.023,0.0275,0.0172,0.018000000000000002,0.,0.,-0.0367,0.0649,-
2014//6//9,160,04::25:21,19::41:59,12::03:32,11.555,20.119,8.725,2.525,3.032,4.638,7.325,2.525,11.072000000000001,2.525,1.4000000000000001,2.532,4.2,27.92,-0.0146,0.0162,0.0154,0.013900000000000001,0.,0.,-0.031,0.0625,-
2014//6//10,161,04::25:09,19::42:31,12::03:44,11.565,20.136,9.142,2.525,2.97,4.638,8.043000000000001,2.525,12.386000000000001,2.525,1.099,2.533,1.31,25.21,-0.0584,0.0419,0.049,0.028800000000000003,0.,0.,-0.0883,0.0879,-
2014//6//11,162,04::25:00,19::43:04,12::03:56,11.575000000000001,20.132,9.15,2.525,3.02,4.638,7.905,2.525,12.062,2.525,1.245,2.532,-0.56,28.51,-0.061200000000000004,0.06810000000000001,0.0591,0.062400000000000004,0.,0.,-0.0911,0.1119,-
2014//6//12,163,04::24:53,19::43:34,12::04:08,11.583,20.149,9.058,2.525,2.946,4.638,8.027000000000001,2.525,11.877,2.525,1.031,2.537,5.38,23.42,-0.027600000000000003,0.026500000000000003,0.034,0.024200000000000003,0.,0.,-0.0485,0.0721,-
2014//6//13,164,04::24:49,19::44:03,12::04:21,11.591000000000001,20.145,6.854,2.525,2.594,4.639,3.3930000000000002,2.525,6.163,2.525,3.461,2.528,1.92,17.13,-0.0731,0.0412,0.0582,0.0313,0.,0.,-0.1169,0.096,-
2014//6//14,165,04::24:46,19::44:28,12::04:34,11.597,20.141000000000002,6.642,2.5260000000000002,3.0340000000000003,4.639,1.677,2.525,2.6830000000000003,2.525,4.965,2.527,-0.34,20.85,-0.0565,0.042800000000000005,0.0434,0.0324,0.,0.,-0.0775,0.0786,-
2014//6//15,166,04::24:46,19::44:54,12::04:46,11.602,20.16,8.68,2.525,3.129,4.639,5.894,2.525,8.696,2.525,2.786,2.529,2.25,21.080000000000002,-0.0858,0.041,0.06280000000000001,0.028300000000000002,0.,0.,-0.1371,0.097,-
2014//6//16,167,04::24:48,19::45:17,12::04:59,11.606,20.156,6.155,2.525,2.608,4.638,2.718,2.525,3.786,2.525,3.4370000000000003,2.528,-0.17,14.22,-0.14880000000000002,0.0454,0.1102,0.0346,0.,0.,-0.2122,0.0879,-
2014//6//17,168,04::24:52,19::45:37,12::05:12,11.609,20.175,6.98,2.5260000000000002,2.666,4.639,3.165,2.525,5.726,2.525,3.815,2.528,-2.02,16.13,-0.17550000000000002,0.0427,0.1313,0.0323,0.,0.,-0.23920000000000002,0.0815,-
2014//6//18,169,04::24:58,19::45:57,12::05:25,11.611,20.171,9.162,2.525,2.927,4.638,7.9990000000000006,2.525,12.450000000000001,2.525,1.163,2.531,-2.27,25.240000000000002,-0.11620000000000001,0.10260000000000001,0.0884,0.0765,0.,0.,-0.1454,0.1312,-
2014//6//19,170,04::25:06,19::46:13,12::05:38,11.612,20.168,8.818,2.525,2.955,4.639,7.5760000000000005,2.525,10.929,2.525,1.242,2.5340000000000003,2.45,27.830000000000002,-0.0446,0.0489,0.0285,0.0313,0.,0.,-0.0698,0.094,-
2014//6//20,171,04::25:16,19::46:27,12::05:52,11.611,20.166,8.931000000000001,2.527,2.9370000000000003,4.639,7.596,2.527,11.835,2.528,1.335,2.532,3.96,25.7,-0.0167,0.0268,0.0145,0.0188,0.,0.,-0.0339,0.0733,-
2014//6//21,172,04::25:29,19::46:40,12::06:05,11.61,20.163,6.7090000000000005,2.525,2.535,4.638,3.612,2.525,5.897,2.525,3.097,2.528,0.75,24.93,-0.043300000000000005,0.039900000000000005,0.045000000000000005,0.0313,0.,0.,-0.068,0.0855,-
2014//6//22,173,04::25:43,19::46:51,12::06:18,11.607000000000001,20.161,8.623,2.525,3.083,4.638,6.505,2.525,9.507,2.525,2.119,2.529,0.75,27.97,-0.0528,0.054900000000000004,0.0468,0.0456,0.,0.,-0.07060000000000001,0.0859,-
2014//6//23,174,04::25:58,19::47:00,12::06:31,11.604000000000001,20.158,7.014,2.5260000000000002,2.702,4.638,4.622,2.525,6.632000000000001,2.525,2.392,2.5300000000000002,6.41,29.36,-0.0023,0.0048000000000000004,0.0046,0.0073,0.,0.,-0.0049,0.0247,-
2014//6//24,175,04::26:17,19::47:06,12::06:43,11.599,20.156,7.4750000000000005,2.5260000000000002,2.9050000000000002,4.64,5.101,2.525,7.414000000000001,2.525,2.373,2.532,6.87,24.82,-0.0039000000000000003,0.0063,0.004,0.0063,0.,0.,-0.006500000000000001,0.024900000000000002,-
2014//6//25,176,04::26:37,19::47:10,12::06:56,11.594,20.133,3.2,2.527,1.452,4.641,0.,100,0.003,2.254,3.1990000000000003,2.531,5.42,17.95,-0.0111,0.015000000000000001,0.0086,0.009600000000000001,0.,0.,-0.0218,0.0505,-
2014//6//26,177,04::26:59,19::47:12,12::07:09,11.587,20.131,5.162,2.5260000000000002,2.291,4.639,0.999,2.524,1.2790000000000001,2.5260000000000002,4.163,2.528,10.16,19.51,-0.0047,0.0073,0.0033,0.0057,0.,0.,-0.0099,0.0344,-
2014//6//27,178,04::27:23,19::47:12,12::07:21,11.579,20.129,7.041,2.5260000000000002,2.715,4.64,4.279,2.525,6.067,2.525,2.762,2.531,8.2,22.16,-0.0082,0.011000000000000001,0.007,0.0091,0.,0.,-0.022000000000000002,0.0575,-
2014//6//28,179,04::27:48,19::47:09,12::07:34,11.57,20.106,9.066,2.525,2.858,4.639,8.103,2.525,12.366,2.525,0.962,2.536,1.09,25.07,-0.0364,0.042100000000000005,0.0268,0.030000000000000002,0.,0.,-0.0606,0.0888,-
2014//6//29,180,04::28:16,19::47:05,12::07:46,11.56,20.105,9.124,2.533,2.836,4.638,8.352,2.531,13.137,2.557,0.773,2.536,0.84,26.69,-0.029400000000000003,0.027700000000000002,0.022500000000000003,0.019200000000000002,0.,0.,-0.0558,0.0789,-
2014//6//30,181,04::28:45,19::46:58,12::07:57,11.549,20.082,9.136000000000001,2.525,2.876,4.639,8.355,2.525,13.047,2.525,0.782,2.535,0.81,30.080000000000002,-0.033800000000000004,0.0425,0.024200000000000003,0.0291,0.,0.,-0.0655,0.0985,-
2014//7//1,182,04::29:16,19::46:49,12::08:09,11.537,20.082,8.842,2.54,3.075,4.638,7.562,2.541,11.547,2.545,1.28,2.5260000000000002,4.39,36.68,-0.0089,0.0148,0.007500000000000001,0.0106,0.,0.,-0.0217,0.058800000000000005,-
2014//7//2,183,04::29:49,19::46:37,12::08:20,11.524000000000001,20.059,5.257,2.5260000000000002,2.057,4.638,2.744,2.527,4.556,2.531,2.513,2.525,12.030000000000001,32.5,-0.00030000000000000003,0.0018000000000000002,0.0004,0.0021000000000000003,0.,0.,-0.0029000000000000002,0.0241,-
2014//7//3,184,04::30:24,19::46:24,12::08:31,11.51,20.037,7.894,2.525,2.82,4.6370000000000005,5.689,2.525,9.09,2.525,2.205,2.525,9.25,32.480000000000004,-0.0033,0.006900000000000001,0.0033,0.0064,0.,0.,-0.0045000000000000005,0.0182,-
